type,score,file,slug,title,missing_intent,missing_data,missing_risk,missing_decision,missing_semantic,missing_links,missing_faq,missing_freshness,missing_ctr,missing_differentiation,missing_key_points,missing_fm_faqs,missing_meta_title
blog,2,"content/blog/introducing-mdx.mdx","introducing-mdx","MDX ile Zengin Blog İçeriği",true,false,true,true,true,true,true,false,true,true,true,true,true
blog,3,"content/blog/api-entegrasyonu-nedir.mdx","api-entegrasyonu-nedir","API Entegrasyonu Nedir? E-Ticaret Entegrasyonları Nasıl Çalışır?",true,true,true,true,true,false,true,false,false,true,true,true,true
blog,3,"content/blog/e-ticaret-seo-rehberi.mdx","e-ticaret-seo-rehberi","E-Ticaret SEO Rehberi 2026: Organik Trafiği 10x Artırın",true,true,true,true,true,false,true,false,false,true,true,true,true
blog,3,"content/blog/llm-ai.mdx","llm-ai","LLM ve AI ile Yazılım Geliştirme",false,true,true,false,true,true,true,false,true,true,true,true,true
blog,3,"content/blog/online-is-fikirleri-2026-sermayesiz.mdx","online-is-fikirleri-2026-sermayesiz","2026'da Sermayesiz Online İş Fikirleri: Gelir Getirecek İnovatif İdea",true,true,false,true,true,true,true,false,false,true,true,true,true
blog,4,"content/blog/abonelik-modeli-nedir.mdx","abonelik-modeli-nedir","Abonelik Modeli Nedir? E-Ticarette Subscription Business",true,false,true,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/chatgpt-ile-e-ticaret.mdx","chatgpt-ile-e-ticaret","ChatGPT ile E-Ticaret: AI ile Satışlarınızı Nasıl Artırırsınız?",true,true,true,true,false,false,true,false,false,true,true,true,true
blog,4,"content/blog/core-web-vitals-nedir.mdx","core-web-vitals-nedir","Core Web Vitals Nedir? Sayfa Deneyimi ve SEO Etkisi",false,true,true,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/donusum-orani-nasil-artirilir.mdx","donusum-orani-nasil-artirilir","Dönüşüm Oranı Nasıl Artırılır? 15 Kanıtlanmış Teknik",false,true,true,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/e-ticaret-nasil-kurulur-adim-adim.mdx","e-ticaret-nasil-kurulur-adim-adim","E-Ticaret Nasıl Kurulur? Adım Adım Rehber 2026",false,true,true,true,false,true,true,false,false,true,true,true,true
blog,4,"content/blog/en-cok-satilan-urunler-2026.mdx","en-cok-satilan-urunler-2026","Türkiye'de En Çok Satılan E-Ticaret Ürünleri 2026",true,false,true,false,true,true,true,false,false,true,true,true,true
blog,4,"content/blog/instagram-boyutlari-2026.mdx","instagram-boyutlari-2026","Instagram Görsel Boyutları 2026: Post, Reels, Story Rehberi",true,false,true,false,true,true,true,false,false,true,true,true,true
blog,4,"content/blog/online-is-fikirleri-2026.mdx","online-is-fikirleri-2026","2026'da Online İş Fikirleri: En Karlı 15 Model",true,true,false,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/para-kazanma-yollari-2026.mdx","para-kazanma-yollari-2026","En Kolay Para Kazanma Yolları 2026: Hemen Başlayabileceğiniz 15 Yöntem",true,false,true,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/pasif-gelir-nedir.mdx","pasif-gelir-nedir","Pasif Gelir Nedir? 2026'da Gerçekçi Pasif Gelir Modelleri",true,true,false,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/yapay-zeka-ile-para-kazanma.mdx","yapay-zeka-ile-para-kazanma","Yapay Zeka ile Para Kazanma: 2026'da AI İş Modelleri",true,true,true,true,false,false,true,false,false,true,true,true,true
rehber,4,"content/rehber/seo-teknik.mdx","seo-teknik","Teknik SEO Rehberi: E-Ticaret Siteleri İçin Adım Adım",true,false,true,true,true,true,false,false,false,true,false,true,true
blog,5,"content/blog/cro-nedir.mdx","cro-nedir","CRO Nedir? Dönüşüm Oranı Optimizasyonu Rehberi",false,false,true,true,true,false,true,false,false,true,true,true,true
blog,5,"content/blog/e-posta-pazarlama-nedir.mdx","e-posta-pazarlama-nedir","E-Posta Pazarlama Nedir? E-Ticaret Email Stratejisi",false,false,true,true,true,false,true,false,false,true,true,true,true
blog,5,"content/blog/evden-is-fikirleri-2026.mdx","evden-is-fikirleri-2026","Evden İş Fikirleri 2026: Düşük Sermaye ile Başlayabileceğiniz 15 Online İş",false,false,false,true,true,true,true,false,false,true,true,true,true
blog,5,"content/blog/google-analytics-nedir.mdx","google-analytics-nedir","Google Analytics Nedir? E-Ticaret için GA4 Kurulum Rehberi",false,false,true,true,true,false,true,false,false,true,true,true,true
blog,5,"content/blog/marketplace-nedir.mdx","marketplace-nedir","Marketplace Nedir? Pazaryeri İş Modeli ve Örnekleri",false,true,false,true,true,false,true,false,false,true,true,true,true
blog,5,"content/blog/ozel-e-ticaret-nedir.mdx","ozel-e-ticaret-nedir","Özel E-Ticaret Nedir? Hazır Platform vs Özel Yazılım",false,true,true,false,true,false,true,false,false,true,true,true,true
blog,5,"content/blog/webflow-nedir.mdx","webflow-nedir","Webflow Nedir? Webflow vs Özel Yazılım Karşılaştırması",true,false,true,true,false,false,true,false,false,true,true,true,true
blog,5,"content/blog/yapay-zeka-e-ticaret-2026.mdx","yapay-zeka-e-ticaret-2026","2026'da E-Ticarette Yapay Zeka: Trendler ve Fırsatlar",true,true,false,true,false,false,true,false,false,true,true,true,true
rehber,5,"content/rehber/ai-search-geo.mdx","ai-search-geo","AI Arama Optimizasyonu (GEO) Rehberi: ChatGPT, Perplexity ve Yeni SERP",false,true,true,false,true,true,false,false,false,true,false,true,true
rehber,5,"content/rehber/site-performansi.mdx","site-performansi","Site Performansı Rehberi: Core Web Vitals, LCP ve Hız Optimizasyonu",true,false,true,false,true,true,false,false,false,true,false,true,true
blog,6,"content/blog/a-b-testi-nedir.mdx","a-b-testi-nedir","A/B Testi Nedir? E-Ticarette A/B Test ile Satışları Artırma",false,false,true,true,true,false,false,false,false,true,true,true,true
blog,6,"content/blog/affiliate-marketing-nedir.mdx","affiliate-marketing-nedir","Affiliate Marketing Nedir? Türkiye'de Affiliate ile Para Kazanma",false,false,true,true,false,false,true,false,false,true,true,true,true
blog,6,"content/blog/b2b-e-ticaret-sitesi-nasil-kurulur.mdx","b2b-e-ticaret-sitesi-nasil-kurulur","B2B E-Ticaret Sitesi Nasıl Kurulur? 2024 Rehberi",false,true,false,false,false,true,true,false,false,true,true,true,true
blog,6,"content/blog/b2b-satis-stratejileri.mdx","b2b-satis-stratejileri","B2B Satış Stratejileri 2026: Kurumsal Müşteriye Nasıl Online Satış Yapılır?",false,true,false,true,false,false,true,false,false,true,true,true,true
blog,6,"content/blog/chatgpt-nedir.mdx","chatgpt-nedir","ChatGPT Nedir? Nasıl Kullanılır? E-Ticaret İçin ChatGPT",false,true,true,true,false,false,false,false,false,true,true,true,true
blog,6,"content/blog/checkout-nasil-optimize-edilir.mdx","checkout-nasil-optimize-edilir","Checkout Nasıl Optimize Edilir? Sepet Terk Oranını Düşürün",false,true,false,false,true,false,true,false,false,true,true,true,true
blog,6,"content/blog/dropshipping-nedir-nasil-yapilir.mdx","dropshipping-nedir-nasil-yapilir","Dropshipping Nedir? Nasıl Yapılır? 2024 Rehberi",false,true,false,false,false,true,true,false,false,true,true,true,true
blog,6,"content/blog/e-ticaret-basarili-olmak.mdx","e-ticaret-basarili-olmak","E-Ticarette Başarılı Olmak için 10 Temel Strateji",false,true,false,true,false,false,true,false,false,true,true,true,true
blog,6,"content/blog/e-ticaret-maliyet-hesaplama.mdx","e-ticaret-maliyet-hesaplama","E-Ticaret Sitesi Açmanın Gerçek Maliyeti (2026)",true,false,true,true,false,false,false,false,false,true,false,false,true
blog,6,"content/blog/framer-nedir.mdx","framer-nedir","Framer Nedir? Web Tasarım Aracının Özellikleri ve Sınırları",true,false,true,false,true,false,true,false,false,false,true,true,true
blog,6,"content/blog/headless-commerce-nedir.mdx","headless-commerce-nedir","Headless Commerce Nedir? Avantajları ve Kullanım Senaryoları",false,true,true,false,false,false,true,false,false,true,true,true,true
blog,6,"content/blog/ltv-nedir.mdx","ltv-nedir","LTV Nedir? Müşteri Yaşam Boyu Değeri Hesaplama Rehberi",false,false,true,true,false,false,true,false,false,true,true,true,true
blog,6,"content/blog/saas-nedir.mdx","saas-nedir","SaaS Nedir? Software as a Service Modeli Kapsamlı Rehber",false,true,false,false,true,false,true,false,false,true,true,true,true
blog,6,"content/blog/trendyolda-satis-yapmak-2026.mdx","trendyolda-satis-yapmak-2026","Trendyol'da Satış Yapmak: Başlangıç Rehberi 2026",true,false,false,true,false,true,false,false,false,true,false,false,true
blog,6,"content/blog/webflow-vs-ozel-yazilim.mdx","webflow-vs-ozel-yazilim","Webflow vs Özel Yazılım: E-Ticaret İçin Hangisi?",false,false,true,true,false,false,true,false,false,true,true,true,true
blog,7,"content/blog/ai-website-builder-nedir.mdx","ai-website-builder-nedir","AI Website Builder Nedir? En İyi AI Site Yapım Araçları 2026",false,false,true,false,true,false,true,false,false,false,true,true,true
blog,7,"content/blog/dijital-urun-satmak.mdx","dijital-urun-satmak","Dijital Ürün Satmak Karlı mı? E-kitap, Kurs, Template Rehberi",false,false,false,true,true,false,true,false,false,false,true,true,true
blog,7,"content/blog/e-ticaret-paket-fiyatlari-ve-gizli-maliyetler.mdx","e-ticaret-paket-fiyatlari-ve-gizli-maliyetler","E-Ticaret Paket Fiyatları 2026: Gizli Maliyetler ve Yenileme Ücretleri Gerçeği",false,true,false,true,false,false,false,false,false,true,false,false,false
blog,7,"content/blog/e-ticaret-sitesi-mi-pazaryeri-mi.mdx","e-ticaret-sitesi-mi-pazaryeri-mi","E-Ticaret Sitesi mi, Pazaryeri mi? Doğru Satış Kanalını Seçmek",false,true,false,true,false,false,false,false,false,true,true,false,false
blog,7,"content/blog/etsy-de-satis-yapmak.mdx","etsy-de-satis-yapmak","Etsy'de Satış Yapmak: El Yapımı ve Dijital Ürün Satışı",true,false,false,true,false,false,true,false,false,false,true,true,true
blog,7,"content/blog/kar-marji-nasil-hesaplanir.mdx","kar-marji-nasil-hesaplanir","Kar Marjı Nasıl Hesaplanır? Brüt ve Net Kar Marjı Formülleri",false,false,true,true,false,false,false,false,false,true,false,false,true
blog,7,"content/blog/satis-yapmayan-site.mdx","satis-yapmayan-site","Satış Yapmayan Site Nasıl Düzeltilir? 10 Temel Sebep",false,true,false,false,false,false,true,false,false,true,true,true,true
blog,7,"content/blog/site-hizi-satislari-nasil-etkiler.mdx","site-hizi-satislari-nasil-etkiler","Site Hızı Satışları Nasıl Etkiler? Her Saniye %7 Kayıp",false,false,false,true,true,false,true,false,false,false,true,true,true
blog,8,"content/blog/custom-yazilim-mi-saas-mi.mdx","custom-yazilim-mi-saas-mi","Custom Yazılım mı SaaS mı? Hangisi Doğru Seçim?",false,false,false,false,true,false,true,false,false,false,true,true,true
blog,8,"content/blog/e-ticaret-mi-freelance-mi.mdx","e-ticaret-mi-freelance-mi","E-Ticaret mi Freelance mi? Hangisi Daha Karlı?",false,false,false,true,false,false,true,false,false,false,true,true,true
blog,8,"content/blog/e-ticaret-ne-kadar-kazandirir.mdx","e-ticaret-ne-kadar-kazandirir","E-Ticaret Ne Kadar Kazandırır? Gerçekçi Gelir Beklentisi",false,false,false,true,false,false,true,false,false,false,true,true,true
blog,8,"content/blog/komisyon-hesaplama-rehberi.mdx","komisyon-hesaplama-rehberi","Komisyon Hesaplama Rehberi 2026: Sadece Yüzdeye Değil Toplam Maliyete Bakın",true,false,false,true,false,false,false,false,false,false,false,false,true
blog,8,"content/blog/multi-vendor-nedir.mdx","multi-vendor-nedir","Multi Vendor Nedir? Çok Satıcılı Pazaryeri Modeli",false,false,false,true,false,false,true,false,false,false,true,true,true
blog,8,"content/blog/shopify-mi-ozel-yazilim-mi.mdx","shopify-mi-ozel-yazilim-mi","Shopify mı Özel Yazılım mı? 2026 Detaylı Karşılaştırma",false,false,false,true,true,false,false,false,false,false,true,true,true
blog,8,"content/blog/toptan-satis-nedir.mdx","toptan-satis-nedir","Toptan Satış Nedir? Online Toptan E-Ticaret Kurma Rehberi",false,false,false,true,false,false,true,false,false,false,true,true,true
rehber,8,"content/rehber/e-ticaret-altyapisi.mdx","e-ticaret-altyapisi","E-Ticaret Sistemi Kurma Rehberi (Adım Adım + Maliyet + Performans)",true,false,true,false,false,false,false,false,false,false,false,true,false
rehber,8,"content/rehber/is-kurma-dijital.mdx","is-kurma-dijital","Dijital İş Kurma Rehberi: Online Mağazadan SaaS'a Adım Adım",true,false,false,true,false,false,false,false,false,false,false,true,true
blog,9,"content/blog/dropshipping-nedir.mdx","dropshipping-nedir","Dropshipping Nedir? 2026'da Dropshipping ile Para Kazanmak",false,false,false,true,false,false,false,false,false,false,true,true,true
blog,9,"content/blog/e-ticaret-sitesi-maliyeti-2026.mdx","e-ticaret-sitesi-maliyeti-2026","E-Ticaret Sitesi Maliyeti 2026: Gerçek TCO ve TL Bazlı Rehber",false,false,false,true,false,false,false,false,false,false,false,false,false
blog,9,"content/blog/en-iyi-sanal-pos.mdx","en-iyi-sanal-pos","En İyi Sanal POS 2026: Komisyon, Bloke ve Chargeback'e Göre Net Seçim",true,false,false,false,false,false,false,false,false,false,false,false,true
blog,9,"content/blog/ikas-mi-shopify-mi.mdx","ikas-mi-shopify-mi","ikas mı Shopify mı? Türkiye İçin Doğru E-Ticaret Platformu",false,false,false,false,false,false,true,false,false,false,true,true,true
blog,9,"content/blog/no-code-nedir.mdx","no-code-nedir","No-Code Nedir? No-Code Platformlar ve Sınırları",false,false,false,false,false,false,true,false,false,false,true,true,true
blog,9,"content/blog/no-code-vs-custom-development.mdx","no-code-vs-custom-development","No-Code vs Custom Development: Hangisi Doğru Seçim?",false,false,false,true,false,false,false,false,false,false,true,true,true
blog,9,"content/blog/paytr-vs-iyzico.mdx","paytr-vs-iyzico","PayTR mi iyzico mu? (2026 Güncel) Komisyon, Bloke ve Gerçek Maliyet Karşılaştırması",false,false,false,false,false,false,false,false,true,false,false,false,true
blog,9,"content/blog/roi-nasil-hesaplanir.mdx","roi-nasil-hesaplanir","ROI Nasıl Hesaplanır? E-Ticaret Yatırım Getirisi Rehberi",false,false,false,true,false,false,false,false,false,false,true,true,true
blog,9,"content/blog/toptan-mi-perakende-mi.mdx","toptan-mi-perakende-mi","Toptan mı Perakende mi? E-Ticarette Doğru Modeli Seçin (2026)",false,false,false,false,false,false,true,false,false,false,true,true,true
blog,9,"content/blog/trendyol-magaza-acma-2026-rehberi.mdx","trendyol-magaza-acma-2026-rehberi","Trendyol'da Mağaza Açma Rehberi (2026): Adım Adım, Maliyetler ve Komisyonlar",false,false,false,true,false,false,false,false,false,false,false,false,false
blog,9,"content/blog/urun-maliyeti-nasil-hesaplanir.mdx","urun-maliyeti-nasil-hesaplanir","Ürün Maliyeti Nasıl Hesaplanır? Satış Fiyatı Belirleme Rehberi",false,false,false,true,false,false,false,false,false,false,false,false,true
rehber,9,"content/rehber/b2b-e-ticaret-nasil-yapilir.mdx","b2b-e-ticaret-nasil-yapilir","B2B E-Ticaret Nasıl Yapılır? Toptan Bayi Ağınızı Dijitalleştirme Rehberi (2026)",false,false,false,true,false,false,false,false,false,false,true,false,false
rehber,9,"content/rehber/e-ticaret-altyapisi-paketleri.mdx","e-ticaret-altyapisi-paketleri","En İyi E-Ticaret Altyapısı: Moyduz ile Satışlarınızı Katlayın",false,false,false,true,false,false,false,false,false,false,false,false,false
rehber,9,"content/rehber/mikro-ihracat-ve-e-ihracat-rehberi.mdx","mikro-ihracat-ve-e-ihracat-rehberi","Mikro İhracat Rehberi 2026: ETGB, e-Fatura ve Yazılım Entegrasyonu",false,false,false,true,false,false,false,false,false,false,true,false,false
rehber,9,"content/rehber/odeme-sistemleri.mdx","odeme-sistemleri","Türkiye'de Online Ödeme Sistemleri Rehberi (2026): Komisyon, Bloke ve Chargeback",true,false,false,false,false,false,false,false,false,false,false,false,true
blog,10,"content/blog/e-ticaret-nasil-yapilir.mdx","e-ticaret-nasil-yapilir","E-Ticaret Nasıl Yapılır? Adım Adım Başlangıç Rehberi",false,false,false,false,false,false,false,false,false,false,false,false,true
blog,10,"content/blog/e-ticaret-odeme-yontemleri.mdx","e-ticaret-odeme-yontemleri","Türkiye'de E-Ticaret Ödeme Yöntemleri 2026: Komisyon ve Risk Odaklı Rehber",false,false,false,false,false,false,false,false,false,false,false,false,true
blog,10,"content/blog/e-ticaret-sitesi-nasil-kurulur.mdx","e-ticaret-sitesi-nasil-kurulur","E-Ticaret Sitesi Nasıl Kurulur? (2026 Adım Adım Rehber)",false,false,false,false,false,false,false,false,false,false,true,true,true
blog,10,"content/blog/iyzico-nedir.mdx","iyzico-nedir","iyzico Nedir? (2026) Komisyon, Chargeback ve Gerçek Maliyet Rehberi",false,false,false,false,false,false,false,false,false,false,false,false,true
blog,10,"content/blog/paytr-nedir.mdx","paytr-nedir","PayTR Nedir? (2026) Komisyon, Bloke Süresi ve Chargeback Gerçekleri",false,false,false,false,false,false,false,false,false,false,false,false,true
blog,10,"content/blog/sanal-pos-karsilastirmasi-2026.mdx","sanal-pos-karsilastirmasi-2026","2026 Sanal POS Karşılaştırması: Komisyon, Bloke Süresi ve Chargeback Analizi",false,false,false,false,false,false,false,false,false,false,false,false,true
blog,10,"content/blog/trendyol-komisyon-oranlari-2026.mdx","trendyol-komisyon-oranlari-2026","Trendyol Komisyon Oranları 2026 (Güncel): Gerçek Kesinti ve Net Kazanç",false,false,false,false,false,false,false,false,false,false,false,false,false